name,iata
1Time Airline,1T
40-Mile Air,Q5
ABSA - Aerolinhas Brasileiras,M3
ABX Air,GB
ACES Colombia,VX
ADC Airlines,Z7
AOM French Airlines,IW
ATA Airlines,TZ
ATRAN Cargo Airlines,V8
AVCOM,J6
Abacus International,1B
Aban Air,K5
Abelag Aviation,W9
Abu Dhabi Amiri Flight,MO
Access Air,ZA
Ada Air,ZY
Adam Air,KI
Adria Airways,JP
Advance Leasing Company,4G
Aegean Airlines,A3
Aer Arann,RE
Aer Lingus,EI
Aero 2000,4M
Aero Airlines,EE
Aero Asia International,E4
Aero Benin,EM
Aero California,JR
Aero Condor Peru,Q6
Aero Contractors,AJ
Aero Flight,GV
Aero Lanka,QL
Aero Services Executive,W4
Aero VIP,2D
Aero-Charter Ukraine,DW
Aero-Service,BF
Aero-Tropics Air Services,HC
AeroRepública,P5
Aerocondor,2B
Aeroflot Russian Airlines,SU
Aeroflot-Don,D9
Aeroflot-Nord,5N
Aeroland Airways,3S
Aerolane,XL
Aeroline GmbH,7E
Aerolineas Argentinas,AR
Aerolineas Galapagos (Aerogal),2K
Aerolitoral,5D
Aeromar,BQ
Aeromar,VW
Aeromexpress,QO
Aeromist-Kharkiv,HT
Aeroméxico,AM
Aeropelican Air Services,OT
Aeroperú,PL
Aerosur,5L
Aerosvit Airlines,VV
Africa West,FK
African Safari Airways,QS
African Transport Trading and Investment Company,ML
Afrinat International Airlines,Q9
Afriqiyah Airways,8U
Aigle Azur,ZI
Air Afrique,RK
Air Algérie,AH
Air Alpha Greenland,GD
Air Alps Aviation,A6
Air Arabia,G9
Air Armenia,QN
Air Astana,KC
Air Atlanta Icelandic,CC
Air Austral,UU
Air Baltic,BT
Air Bangladesh,B9
Air Berlin,AB
Air Bosna,JA
Air Botswana,BP
Air Bourbon,ZB
Air Burkina,2J
Air Burundi,8Y
Air Caledonie International,SB
Air Calédonie,TY
Air Canada Jazz,QK
Air Canada,AC
Air Caraïbes,TX
Air Cargo Carriers,2Q
Air Central,NV
Air Chathams,CV
Air China,CA
Air City,4F
Air Class Lineas Aereas,QD
Air Comores International,GG
Air Contractors,AG
Air Corridor,QC
Air D'Ayiti,H9
Air Dolomiti,EN
Air Europa,UX
Air Europe,PE
Air Exel,XT
Air Fiji,PC
Air Finland,OF
Air Florida,QH
Air Foyle,GS
Air France,AF
Air Gabon,GN
Air Georgia,DA
Air Georgian,ZX
Air Glaciers,7T
Air Greenland,GL
Air Guinee Express,2U
Air Hong Kong,LD
Air Horizon,8C
Air Iceland,NY
Air India Express,IX
Air India Limited,AI
Air Italy,I9
Air Ivoire,VU
Air Jamaica,JM
Air Japan,NQ
Air Kazakhstan,9Y
Air Kiribati,4A
Air Koryo,JS
Air Liberté,VD
Air Lithuania,TT
Air Luxor GB,L8
